uri	name	issn	eissn	
	Archive for Mathematical Logic	0933-5846	1432-0665	
	Archives of Agronomy and Soil Science	0365-0340		
	Archives of Biochemistry and Biophysics	Mar-61	1096-0384	
	Archives of Clinical Neuropsychology	0887-6177	1873-5843	
	Archives of Dermatological Research	0340-3696	1432-069X	
	Archives of Dermatology	0003-987X	1538-3652	
	Archives of Disease in Childhood-Fetal and Neonatal Edition	1359-2998		
	Archives of Environmental Contamination and Toxicology	0090-4341	1432-0703	
	Archives of Environmental and Occupational Health	1933-8244		
	Archives of Facial Plastic Surgery	1521-2491	1538-3660	
	Archives of General Psychiatry	0003-990X	1538-3636	
	Archives of Gerontology and Geriatrics	0167-4943	1872-6976	
	Archives of Gynecology and Obstetrics	0932-0067	1432-0711	
	Archives of Insect Biochemistry and Physiology	0739-4462	1520-6327	
	Archives of Internal Medicine	Mar-26	1538-3679	
	Archives of Medical Research	0188-4409	1873-5487	
	Archives of Neurology	Mar-42	1538-3687	
	Archives of Ophthalmology	Mar-50	1538-3601	
	Archives of Oral Biology	Mar-69	1879-1506	
	Archives of Otolaryngology - Head & Neck Surgery	0886-4470	1538-361X	
	Archives of Pathology and Laboratory Medicine	Mar-85	1543-2165	
	Archives of Pediatrics and Adolescent Medicine	1072-4710	1538-3628	
	Archives of Physical Medicine and Rehabilitation	Mar-93	1532-821X	
	Archives of Sexual Behavior	0004-0002	1573-2800	
	Archives of Surgery	0004-0010	1538-3644	
	Archives of Toxicology	0340-5761	1432-0738	
	Archives of Virology	0304-8608	1432-8798	
	Archivos De Bronconeumologia	0300-2896	1579-2129	
	Archivos De Medicina Veterinaria	0301-732X	0717-6201	
	Archivum Immunologiae et Therapiae Experimentalis	0004-069X	1661-4917	
	Arctic	0004-0843	1923-1245	
	Arctic Antarctic and Alpine Research	1523-0430	1938-4246	
	Argumentation	0920-427X	1572-8374	
	Ariel-a Review of International English Literature	0004-1327		
	Arkansas Historical Quarterly	0004-1823		
	Arkivoc	1551-7004	1551-7012	
	Armed Forces and Society	0095-327X	1556-0848	
	Arq-Architectural Research Quarterly	1359-1355	1474-0516	
	Arquivo Brasileiro De Medicina Veterinaria E Zootecnia	0102-0935		
	Arquivos Brasileiros De Cardiologia	0066-782X	1678-4170	
	Arquivos Brasileiros De Endocrinologia E Metabologia	Apr-30	1677-9487	
	Arquivos De Neuro-Psiquiatria	0004-282X	1678-4227	
	Art Journal	Apr-49	1437-1340	
	Arteriosclerosis Thrombosis and Vascular Biology	1079-5642	1524-4636	
	Arthritis Care and Research	2151-464X	2151-4658	
	Arthritis Research & Therapy	1478-6354	1478-6362	
	Arthritis and Rheumatism	Apr-91	1529-0131	
	Arthritis and Rheumatology	2326-5191		
	Arthropod-Plant Interactions	1872-8855	1872-8847	
	Arthroscopy-the Journal of Arthroscopic and Related Surgery	0749-8063	1526-3231	
	Artificial Intelligence in Medicine	0933-3657	1873-2860	
	Artificial Organs	0160-564X	1525-1594	
	Artnews	Apr-73		
	Arts of Asia	Apr-83		
	Asaio Journal	1058-2916	1538-943X	
	Ashrae Journal	Jan-91		
	Asia Life Sciences	0117-3375		
	Asia Pacific Journal of Education	0218-8791	1742-6855	
	Asia Pacific Journal of Tourism Research	1094-1665	1741-6507	
	Asia-Pacific Education Researcher	0119-5646	2243-7908	
	Asia-Pacific Journal of Atmospheric Sciences	1976-7633		
	Asia-Pacific Journal of Clinical Oncology	1743-7555	1743-7563	
	Asian American Journal of Psychology	1948-1985		
	Asian Economic Journal	1351-3958		
	Asian Journal of Andrology	1008-682X	1745-7262	
	Asian Journal of Communication	0129-2986	1742-0911	
	Asian Journal of Control	1561-8625		
	Asian Journal of Womens Studies	1225-9276		
	Asian Nursing Research	1976-1317		
	Asian-Australasian Journal of Animal Sciences	1011-2367		
	Asn Neuro	1759-0914		
	Assessment	1073-1911	1552-3489	
	Assistive Technology	1040-0435	1949-3614	
	Astrobiology	1531-1074	1557-8070	
	Astronomical Journal	Apr-56	1538-3881	
	Astronomische Nachrichten	Apr-37	1521-3994	
	Astronomy and Astrophysics	Apr-61	1432-0746	
	Astroparticle Physics	0927-6505	1873-2852	
	Astrophysical Journal	0004-637X	1538-4357	
	Astrophysical Journal Letters	2041-8205	2041-8213	
	Astrophysical Journal Supplement Series	0067-0049	1538-4365	
	At-Automatisierungstechnik	0178-2312		
	Atherosclerosis	0021-9150	1879-1484	
	Atherosclerosis Supplements	1567-5688	1878-5050	
	Athletic Therapy Today	1078-7895	1933-2068	
	Atlas of the Oral and Maxillofacial Surgery Clinics of North America	1061-3315	1558-4275	
	Atmospheric Chemistry and Physics	1680-7316	1680-7324	
	Atmospheric Environment	1352-2310	1873-2844	
	Atmospheric Research	0169-8095	1873-2895	
	Atomization and Sprays	1044-5110	1936-2684	
	Attention Perception and Psychophysics	1943-3921		
	Auditing-a Journal of Practice and Theory	0278-0380	1558-7991	
	Austral Ecology	1442-9985	1442-9993	
	Australasian Journal of Educational Technology	1449-3098	1449-5554	
	Australasian Plant Pathology	0815-3191	1448-6032	
	Australian Accounting Review	1035-6908		
	Australian Archaeology	0312-2417		
	Australian Dental Journal	0045-0421	1834-7819	
	Australian Journal of Agricultural Research	Apr-09	1444-9838	
	Australian Journal of Agricultural and Resource Economics	1364-985X		
	Australian Journal of Botany	0067-1924	1444-9862	
	Australian Journal of Crop Science	1835-2693	1835-2707	
	Australian Journal of Earth Sciences	0812-0099	1440-0952	
	Australian Journal of Entomology	1326-6756		
	Australian Veterinary Journal	0005-0423	1751-0813	
	Australian and New Zealand Journal of Psychiatry	Apr-74		
	Australian and New Zealand Journal of Surgery	1445-1433	1445-2197	
	Autism Research	1939-3792	1939-3806	
	Autoimmunity	0891-6934	1607-842X	
	Autoimmunity Reviews	1568-9972	1873-0183	
	Automated Software Engineering	0928-8910	1573-7535	
	Automatica	0005-1098	1873-2836	
	Autonomic Neuroscience	1566-0702	1872-7484	
	Autophagy	1554-8627	1554-8635	
	Avian Biology Research	1758-1559		
	Avian Pathology	0307-9457	1465-3338	
	Aviation space and environmental medicine	0095-6562	1943-4448	
	Axiomathes	1122-1151	1572-8390	
	Azania-Archaeological Research in Africa	0067-270X		
	B E Journal of Economic Analysis and Policy	1935-1682		
	BJU International	1464-4096	1464-410X	
	BJU International. Supplement	1465-5101	2051-2139	
	BMC Bioinformatics	1471-2105		
	BMC Biology	1741-7007		
	BMC Biotechnology	1472-6750		
	BMC Cancer	1471-2407		
	BMC Cell Biology	1471-2121		
	BMC Ecology	1472-6785		
	BMC Evolutionary Biology	1471-2148		
	BMC Genetics	1471-2156		
	BMC Genomics	1471-2164		
	BMC Infectious Diseases	1471-2334		
	BMC Musculoskeletal Disorders	1471-2474		
	BMC Neuroscience	1471-2202		
	BMC Oral Health	1472-6831		
	BMC Pharmacology	1471-2210		
	BMC Physiology	1472-6793		
	BMC Plant Biology	1471-2229		
	BMC Psychiatry	1471-244X		
	BMC Public Health	1471-2458		
	BMC Research Notes	1756-0500		
	BMC Surgery	1471-2482		
	BMC Systems Biology	1752-0509		
	BMC Urology	1471-2490		
	BMC Veterinary Research	1746-6148		
	BMJ Quality and Safety	2044-5415	2044-5423	
	Baltic Journal of Management	1746-5265	1746-5273	
	Basic and Applied Ecology	1439-1791		
	Basic and Applied Social Psychology	0197-3533	1532-4834	
	Basic and Clinical Pharmacology and Toxicology	1742-7835	1742-7843	
	Bayesian Analysis	1931-6690		
	Bayesian Analysis	1936-0975	1931-6690	
	Behavior Analyst	0738-6729		
	Behavior Genetics	Jan-44	1573-3297	
	Behavior Modification	0145-4455	1552-4167	
	Behavior Research Methods	1554-351X		
	"Behavior Research Methods	 Instruments & Computers"	0743-3808	1532-5970	
	Behavior Therapy	May-94	1878-1888	
	Behavioral Disorders	0198-7429	2163-5307	
	Behavioral Ecology	1045-2249	1465-7279	
	Behavioral Interventions	1072-0847	1099-078X	
	Behavioral Medicine	0896-4289	1940-4026	
	Behavioral Neuroscience	0735-7044	1939-0084	
	Behavioral Psychology-Psicologia Conductual	1132-9483		
	Behavioral Sciences & the Law	0735-3936	1099-0798	
	Behavioral Sleep Medicine	1540-2002	1540-2010	
	Behavioral and Brain Functions	1744-9081		
	Behavioral and Brain Sciences	0140-525X	1469-1825	
	Behaviour	May-59	1568-539X	
	Behaviour Change	0813-4839		
	Behaviour Research and Therapy	May-67	1873-622X	
	Behavioural Brain Research	0166-4328	1872-7549	
	Behavioural Ecology and Sociobiology	0340-5443	1432-0762	
	Behavioural Neurology	0953-4180	1875-8584	
	Behavioural Pharmacology	0955-8810	1473-5849	
	Behavioural Processes	0376-6357	1872-8308	
	Behavioural and Cognitive Psychotherapy	1352-4658	1469-1833	
	Beilstein Journal of Organic Chemistry	1860-5397		
	Bell Labs Technical Journal	1089-7089	1538-7305	
	Beneficial Microbes	1876-2883	1876-2891	
	Best Practice and Research - Clinical Haematology	1521-6926	1532-1924	
	Best Practice and Research - Clinical Rheumatology	1521-6942	1532-1770	
	Best Practice and Research Clinical Endocrinology and Metabolism	1521-690X	1878-1594	
	Best Practice and Research in Clinical Gastroenterology	1521-6918	1532-6918	
	Bilig	1301-0549		
	Bilingualism-Language and Cognition	1366-7289	1469-1841	
	Bio Systems	0303-2647	1872-8324	
	Bio-Medical Materials and Engineering	0959-2989		
	"BioDrugs: Clinical Immunotherapeutics	 Biopharmaceuticals	 and Gene Therapy"	1173-8804	1179-190X	
	BioEssays	0265-9247	1521-1878	
	Bioanalysis	1757-6180	1757-6199	
	Biocell	0327-9545		
	Biochemical Genetics	Jun-28	1573-4927	
	Biochemical Journal	0264-6021	1470-8728	
	Biochemical Pharmacology	Jun-52	1873-2968	
	Biochemical Systematics and Ecology	0305-1978	1873-2925	
	Biochemical and Biophysical Research Communications	0006-291X	1090-2104	
	Biochemistry	Jun-60	1520-4995	
	Biochemistry and Cell Biology-Biochimie Et Biologie Cellulaire	0829-8211	1208-6002	
	Biochemistry and Molecular Biology Education	1470-8175		
	Biochimica Et Biophysica Acta-Bioenergetics	May-28		
	Biochimica Et Biophysica Acta-Biomembranes	May-36		
	Biochimica Et Biophysica Acta-Gene Regulatory Mechanisms	1874-9399	1876-4320	
	Biochimica Et Biophysica Acta-General Subjects	0304-4165	1872-8006	
	Biochimica Et Biophysica Acta-Molecular Cell Research	0167-4889		
	Biochimica Et Biophysica Acta-Molecular and Cell Biology of Lipids	1388-1981		
	Biochimica Et Biophysica Acta-Proteins and Proteomics	1570-9639		
	Biochimica Et Biophysica Acta-Reviews On Cancer	0304-419X		
	Biochimica et Biophysica Acta - Molecular Basis of Disease	0925-4439		
	Biochimie	0300-9084	1638-6183	
	Bioconjugate Chemistry	1043-1802	1520-4812	
	Biocontrol	1386-6141	1573-8248	
	Biocontrol Science and Technology	0958-3157		
	Biodegradation	0923-9820	1572-9729	
	Biodemography and Social Biology	1948-5565	1948-5573	
	Biodiversity and Conservation	0960-3115	1572-9710	
	Bioelectromagnetics	0197-8462	1521-186X	
	Bioenergy Research	1939-1234	1939-1242	
	Bioethics	0269-9702		
	Biofabrication	1758-5082	1758-5090	
	Biofactors	0951-6433	1872-8081	
	Biofouling	0892-7014	1029-2454	
	Biofuels Bioproducts and Biorefining-Biofpr	1932-104X	1932-1031	
	Biogeochemistry	0168-2563	1573-515X	
	Biogeosciences	1726-4170	1726-4189	
	Biogerontology	1389-5729	1573-6768	
	Biography-An Interdisciplinary Quarterly	0162-4962	1529-1456	
	Bioinformatics	1367-4803	1367-4811	
	"Bioinformatics (Oxford	 England)"	1367-4811		
	Bioinorganic Chemistry and Applications	1565-3633	1687-479X	
	Bioinspiration and Biomimetics	1748-3182	1748-3190	
	Biological Bulletin	Jun-85	1939-8697	
	Biological Chemistry	1431-6730		
	Biological Conservation	Jun-07	1873-2917	
	Biological Control	1049-9644	1090-2112	
	Biological Cybernetics	0340-1200	1432-0770	
	Biological Invasions	1387-3547	1573-1464	
	Biological Journal of the Linnean Society	0024-4066	1095-8312	
	Biological Procedures Online	1480-9222		
	Biological Psychiatry	Jun-23	1873-2402	
	Biological Psychology	0301-0511	1873-6246	
	Biological Research for Nursing	1099-8004	1552-4175	
	Biological Reviews	1464-7931	1469-185X	
	Biological Reviews and Biological Proceedings of the Cambridge Philosophical Society	0301-7699		
	Biological Reviews and Biological Proceedings of the Cambridge Philosophical Society	0301-7699		
	Biological Rhythm Research	0929-1016		
	Biological Signals and Receptors	1422-4933	1422-4992	
	Biological Trace Element Research	0163-4984	1559-0720	
	Biological and Pharmaceutical Bulletin	0918-6158		
	Biology Direct	1745-6150		
	Biology Letters	1744-9561	1744-957X	
	Biology Open	2046-6390		
	Biology and Fertility of Soils	0178-2762	1432-0789	
	Biology of Blood and Marrow Transplantation	1083-8791	1523-6536	
	Biology of Reproduction	Jun-63	1529-7268	
	Biology of the Neonate Foetal and Neonatal Research	Jun-26	1421-9727	
	Biomacromolecules	1525-7797		
	Biomagnetic Research and Technology	1477-044X		
	Biomarkers	1354-750X	1366-5804	
	Biomarkers in Medicine	1752-0363	1752-0371	
	Biomass and Bioenergy	0961-9534	1873-2909	
	Biomaterials	0142-9612	1878-5905	
	Biomaterials Science	2047-4830		
	Biomechanics and Modeling in Mechanobiology	1617-7959	1617-7940	
	Biomed Research International	2314-6133		
	Biomedical Chromatography	0269-3879	1099-0801	
	Biomedical Microdevices	1387-2176	1572-8781	
	Biomedical Optics Express	2156-7085		
	Biometals	0966-0844	1572-8773	
	Biometrical Journal	0323-3847	1521-4036	
	Biometrics	0006-341X	1541-0420	
	Biometrika	Jun-44	1464-3510	
	Biomicrofluidics	1932-1058		
	Biomolecular Engineering	1389-0344		
	Biomolecular Nmr Assignments	1874-2718		
	Bioorganic & Medicinal Chemistry	0968-0896	1464-3391	
	Bioorganic & Medicinal Chemistry Letters	0960-894X	1464-3405	
	Bioorganic Chemistry	0045-2068	1090-2120	
	Biopharmaceutics and Drug Disposition	0142-2782	1099-081X	
	Biophysical Journal	Jun-95	1542-0086	
	Biopolymers	Jun-25	1097-0282	
	Biopreservation and Biobanking	1947-5535		
	Bioresource Technology	0960-8524	1873-2976	
	Bioscience	Jun-68		
	Bioscience Biotechnology and Biochemistry	0916-8451	1347-6947	
	Bioscience Journal	1516-3725		
	Bioscience Reports	0144-8463	1573-4935	
	Biosecurity and Bioterrorism-Biodefense Strategy Practice and Science	1538-7135	1557-850X	
	Biosensors and Bioelectronics	0956-5663	1873-4235	
	Biostatistics	1465-4644	1468-4357	
	Biosystems	0303-2647	1872-8324	
	Biosystems Engineering	1537-5110	1537-5129	
	Biota Neotropica	1676-0603		
	Biotechnic and Histochemistry	1052-0295	1473-7760	
	Biotechniques	0736-6205	1940-9818	
	Biotechnology Advances	0734-9750		
	Biotechnology Journal	1860-6768		
	Biotechnology Letters	0141-5492	1573-6776	
	Biotechnology Progress	8756-7938	1520-6033	
	Biotechnology and Bioengineering	Jun-92	1097-0290	
	Biotechnology and Bioprocess Engineering	1226-8372		
	Biotechnology for Biofuels	1754-6834		
	Biotropica	Jun-06	1744-7429	
	Bird Conservation International	0959-2709	1474-0001	
	Birth Defects Research Part A-Clinical and Molecular Teratology	1542-9768		
	Birth Defects Research Part A-Clinical and Molecular Teratology	1542-0752	1542-0760	
	Birth Defects Research Part B-Developmental and Reproductive Toxicology	1542-9733		
	Bjog-An International Journal of Obstetrics and Gynaecology	1470-0328	1471-0528	
	Blood	Jun-71	1528-0020	
	Blood Cancer Journal	2044-5385		
	"Blood Cells	 Molecules & Diseases"	1079-9796	1096-0961	
	Blood Coagulation and Fibrinolysis	0957-5235	1473-5733	
	Blood Purification	0253-5068	1421-9735	
	Blood Reviews	0268-960X	1532-1681	
	Blumea	Jun-96	2212-1676	
	Bmc Cardiovascular Disorders	1471-2261		
	Bmc Complementary and Alternative Medicine	1472-6882		
	Bmc Developmental Biology	1471-213X		
	Bmc Endocrine Disorders	1472-6823		
	Bmc Family Practice	1471-2296		
	Bmc Geriatrics	1471-2318		
	Bmc Health Services Research	1472-6963		
	Bmc Immunology	1471-2172		
	Bmc International Health and Human Rights	1472-698X		
	Bmc Medical Education	1472-6920		
	Bmc Medical Genetics	1471-2350		
	Bmc Medical Informatics and Decision Making	1472-6947		
	Bmc Medical Research Methodology	1471-2288		
	Bmc Medicine	1741-7015		
	Bmc Microbiology	1471-2180		
	Bmc Molecular Biology	1471-2199		
	Bmc Nephrology	1471-2369		
	Bmc Neurology	1471-2377		
	Bmc Ophthalmology	1471-2415		
	Bmc Pediatrics	1471-2431		
	Bmj Open	2044-6055		
	Bmj-British Medical Journal	1756-1833		
	Body Image	1740-1445		
	Bois Et Forets Des Tropiques	0006-579X	1777-5760	
	Boletin De La Sociedad Argentina De Botanica	1851-2372		
	Bone	8756-3282	1873-2763	
	Bone Marrow Transplantation	0268-3369	1476-5365	
	Bosque	0717-9200		
	Bosque	0304-8799	0717-9200	
	Boston University Law Review	Jun-47		
	Botanical Journal of the Linnean Society	0024-4074	1095-8339	
	Botanical Review	Jun-01	1874-9372	
	Botanical Studies	1817-406X		
	Botany-Botanique	1916-2790	1916-2804	
	Boundary-Layer Meteorology	Jun-14	1573-1472	
	Bragantia	Jun-05		
	Brain	Jun-50	1460-2156	
	Brain & Development	0387-7604	1872-7131	
	Brain Behavior and Immunity	0889-1591	1090-2139	
	Brain Imaging and Behavior	1931-7557	1931-7565	
	Brain Injury	0269-9052	1362-301X	
	Brain Pathology	1015-6305	1750-3639	
	Brain Research	Jun-93	1872-6240	
	Brain Research Bulletin	0361-9230	1873-2747	
	Brain Research Reviews	0165-0173	1872-6321	
	Brain Research. Brain Research Protocols	1385-299X	1872-809X	
	Brain Research. Molecular Brain Research	0169-328X	1872-6941	
